Sequence Number,Count
0,12255
1,12250
2,12251
3,12250
4,12246
5,12242
6,12252
7,12261
8,12249
9,12248
10,12248
11,12263
12,12268
13,12258
14,12263
15,12257
16,12242
17,12256
18,12252
19,12262
20,12248
21,12239
22,12229
23,12244
24,12252
25,12254
26,12253
27,12251
28,12251
29,12252
30,12245
31,12254
32,12250
33,12244
34,12235
35,12234
36,12242
37,12234
38,12244
39,12249
40,12231
41,12225
42,12227
43,12232
44,12232
45,12228
46,12231
47,12237
48,12236
49,12246
50,12248
51,12258
52,12290
53,12247
54,12258
55,12217
56,12216
57,12206
58,12199
59,12201
60,12195
61,12197
62,12191
63,12198
64,12208
65,12222
66,12213
67,12221
68,12211
69,12207
70,12218
71,12221
72,12218
73,12212
74,12216
75,12223
76,12220
77,12218
78,12213
79,12211
80,12216
81,12234
82,12228
83,12215
84,12208
85,12226
86,12217
87,12219
88,12236
89,12240
90,12233
91,12235
92,12246
93,12238
94,12224
95,12239
96,12254
97,12215
98,12225
99,12266
100,12263
101,12268
102,12277
103,12276
104,12260
105,12267
106,12258
107,12261
108,12266
109,12254
110,12263
111,12257
112,12266
113,12262
114,12248
115,12258
116,12263
117,12261
118,12262
119,12268
120,12257
121,12275
122,12250
123,12285
124,12260
125,12255
126,12236
127,12244
128,12266
129,12265
130,12268
131,12260
132,12251
133,12254
134,12248
135,12237
136,12256
137,12248
138,12247
139,12244
140,12235
141,12247
142,12250
143,12251
144,12256
145,12261
146,12258
147,12263
148,12254
149,12264
150,12274
151,12263
152,12263
153,12272
154,12278
155,12269
156,12269
157,12270
158,12272
159,12272
160,12275
161,12269
162,12249
163,12257
164,12250
165,12253
166,12260
167,12265
168,12269
169,12273
170,12280
171,12278
172,12281
173,12288
174,12288
175,12277
176,12271
177,12297
178,12274
179,12277
180,12272
181,12315
182,12289
183,12290
184,12287
185,12279
186,12294
187,12281
188,12279
189,12288
190,12289
191,12287
192,12290
193,12290
194,12286
195,12279
196,12273
197,12271
198,12273
199,12270
200,12277
201,12275
202,12274
203,12271
204,12274
205,12274
206,12274
207,12257
208,12257
209,12264
210,12265
211,12256
212,12255
213,12253
214,12249
215,12246
216,12250
217,12261
218,12250
219,12242
220,12223
221,12243
222,12244
223,12233
224,12216
225,12240
226,12242
227,12251
228,12245
229,12245
230,12258
231,12254
232,12246
233,12251
234,12255
235,12254
236,12259
237,12253
238,12249
239,12249
240,12254
241,12239
242,12243
243,12251
244,12245
245,12244
246,12259
247,12258
248,12251
249,12252
250,12268
251,12262
252,12257
253,12258
254,12256
255,12245
256,12253
257,12255
258,12240
259,12242
260,12244
261,12246
262,12234
263,12242
264,12239
265,12232
266,12240
267,12251
268,12239
269,12244
270,12255
271,12252
272,12253
273,12253
274,12249
275,12246
276,12253
277,12244
278,12248
279,12252
280,12252
281,12262
282,12265
283,12257
284,12262
285,12255
286,12259
287,12260
288,12259
289,12263
290,12271
291,12271
292,12267
293,12268
294,12258
295,12260
296,12268
297,12265
298,12258
299,12272
300,12264
301,12264
302,12263
303,12268
304,12260
305,12265
306,12260
307,12262
308,12260
309,12281
310,12273
311,12275
312,12280
313,12278
314,12276
315,12271
316,12265
317,12250
318,12255
319,12267
320,12255
321,12243
322,12250
323,12239
324,12241
325,12246
326,12228
327,12218
328,12218
329,12209
330,12217
331,12236
332,12217
333,12217
334,12217
335,12210
336,12213
337,12211
338,12207
339,12226
340,12217
341,12219
342,12221
343,12228
344,12214
345,12212
346,12217
347,12222
348,12223
349,12219
350,12225
351,12224
352,12219
353,12215
354,12188
355,12195
356,12212
357,12226
358,12203
359,12193
360,12203
361,12207
362,12207
363,12195
364,12200
365,12202
366,12199
367,12193
368,12192
369,12189
370,12207
371,12203
372,12207
373,12196
374,12215
375,12212
376,12204
377,12205
378,12191
379,12201
380,12204
381,12195
382,12188
383,12198
384,12190
385,12197
386,12219
387,12202
388,12201
389,12218
390,12212
391,12216
392,12209
393,12201
394,12214
395,12205
396,12219
397,12208
398,12207
399,12209
400,12210
401,12205
402,12198
403,12214
404,12201
405,12195
406,12209
407,12208
408,12208
409,12199
410,12203
411,12204
412,12212
413,12192
414,12191
415,12206
416,12201
417,12194
418,12216
419,12211
420,12201
421,12212
422,12213
423,12201
424,12208
425,12219
426,12209
427,12201
428,12223
429,12217
430,12209
431,12221
432,12231
433,12200
434,12211
435,12218
436,12225
437,12221
438,12214
439,12220
440,12211
441,12215
442,12218
443,12219
444,12216
445,12230
446,12223
447,12219
448,12224
449,12233
450,12218
451,12216
452,12227
453,12221
454,12230
455,12232
456,12221
457,12235
458,12227
459,12234
460,12238
461,12234
462,12212
463,12221
464,12239
465,12246
466,12253
467,12247
468,12252
469,12247
470,12236
471,12241
472,12230
473,12229
474,12239
475,12246
476,12251
477,12247
478,12259
479,12248
480,12242
481,12242
482,12251
483,12245
484,12245
485,12255
486,12255
487,12253
488,12248
489,12253
490,12257
491,12249
492,12257
493,12251
494,12258
495,12255
496,12255
497,12203
498,12243
499,12244
500,12249
501,12249
502,12244
503,12247
504,12245
505,12252
506,12267
507,12259
508,12250
509,12242
510,12251
511,12252
512,12251
513,12241
514,12263
515,12259
516,12241
517,12239
518,12264
519,12262
520,12249
521,12247
522,12244
523,12238
524,12239
525,12236
526,12231
527,12232
528,12235
529,12238
530,12241
531,12234
532,12241
533,12254
534,12234
535,12248
536,12245
537,12241
538,12265
539,12250
540,12237
541,12234
542,12233
543,12254
544,12248
545,12260
546,12186
547,12192
548,12187
549,12188
550,12173
551,12179
552,12169
553,12167
554,12173
555,12186
556,12173
557,12195
558,12186
559,12181
560,12182
561,12185
562,12188
563,12199
564,12203
565,12194
566,12196
567,12178
568,12191
569,12199
570,12196
571,12183
572,12190
573,12181
574,12183
575,12188
576,12175
577,12189
578,12220
579,12187
580,12186
581,12189
582,12184
583,12222
584,12195
585,12193
586,12193
587,12204
588,12202
589,12197
590,12193
591,12205
592,12199
593,12197
594,12201
595,12194
596,12193
597,12198
598,12198
599,12195
600,12202
601,12205
602,12221
603,12228
604,12217
605,12209
606,12210
607,12207
608,12213
609,12198
610,12213
611,12217
612,12221
613,12216
614,12194
615,12215
616,12238
617,12246
618,12226
619,12227
620,12216
621,12214
622,12227
623,12241
624,12236
625,12229
626,12238
627,12241
628,12232
629,12248
630,12226
631,12225
632,12203
633,12213
634,12221
635,12211
636,12226
637,12223
638,12220
639,12220
640,12228
641,12209
642,12197
643,12208
644,12215
645,12210
646,12219
647,12225
648,12214
649,12204
650,12208
651,12191
652,12193
653,12200
654,12198
655,12195
656,12204
657,12212
658,12194
659,12199
660,12219
661,12205
662,12201
663,12210
664,12204
665,12201
666,12225
667,12211
668,12206
669,12192
670,12211
671,12196
672,12197
673,12241
674,12201
675,12196
676,12179
677,12204
678,12202
679,12221
680,12200
681,12200
682,12212
683,12198
684,12194
685,12202
686,12213
687,12199
688,12201
689,12160
690,12205
691,12207
692,12205
693,12197
694,12206
695,12212
696,12190
697,12204
698,12248
699,12201
700,12199
701,12212
702,12209
703,12201
704,12204
705,12199
706,12204
707,12220
708,12203
709,12207
710,12221
711,12207
712,12207
713,12214
714,12213
715,12220
716,12230
717,12225
718,12225
719,12221
720,12229
721,12225
722,12218
723,12214
724,12222
725,12215
726,12218
727,12214
728,12217
729,12212
730,12219
731,12219
732,12229
733,12217
734,12216
735,12217
736,12210
737,12213
738,12228
739,12178
740,12209
741,12227
742,12228
743,12217
744,12216
745,12218
746,12226
747,12217
748,12219
749,12214
750,12218
751,12210
752,12228
753,12215
754,12227
755,12221
756,12212
757,12220
758,12225
759,12222
760,12214
761,12229
762,12218
763,12210
764,12219
765,12224
766,12225
767,12230
768,12229
769,12221
770,12224
771,12220
772,12227
773,12227
774,12223
775,12216
776,12228
777,12223
778,12210
779,12217
780,12208
781,12203
782,12219
783,12217
784,12223
785,12215
786,12225
787,12221
788,12218
789,12210
790,12224
791,12230
792,12231
793,12217
794,12227
795,12225
796,12225
797,12224
798,12222
799,12234
800,12237
801,12236
802,12243
803,12237
804,12238
805,12229
806,12241
807,12233
808,12229
809,12228
810,12233
811,12214
812,12205
813,12217
814,12210
815,12221
816,12217
817,12225
818,12223
819,12226
820,12229
821,12237
822,12234
823,12232
824,12227
825,12215
826,12226
827,12221
828,12221
829,12224
830,12239
831,12232
832,12225
833,12232
834,12225
835,12213
836,12218
837,12217
838,12215
839,12219
840,12227
841,12222
842,12220
843,12227
844,12222
845,12223
846,12230
847,12219
848,12219
849,12228
850,12224
851,12229
852,12230
853,12238
854,12235
855,12228
856,12241
857,12237
858,12227
859,12225
860,12228
861,12236
862,12236
863,12233
864,12227
865,12239
866,12236
867,12243
868,12240
869,12243
870,12250
871,12247
872,12238
873,12230
874,12240
875,12223
876,12213
877,12211
878,12206
879,12198
880,12201
881,12185
882,12180
883,12174
884,12194
885,12197
886,12197
887,12190
888,12198
889,12180
890,12192
891,12206
892,12188
893,12186
894,12195
895,12175
896,12181
897,12191
898,12175
899,12166
900,12174
901,12159
902,12178
903,12149
904,12165
905,12156
906,12145
907,12145
908,12154
909,12168
910,12160
911,12156
912,12146
913,12150
914,12146
915,12154
916,12161
917,12155
918,12139
919,12155
920,12148
921,12144
922,12158
923,12145
924,12151
925,12152
926,12157
927,12153
928,12143
929,12134
930,12151
931,12148
932,12159
933,12147
934,12170
935,12170
936,12178
937,12168
938,12166
939,12176
940,12167
941,12164
942,12162
943,12157
944,12190
945,12167
946,12108
947,12160
948,12158
949,12151
950,12162
951,12157
952,12146
953,12156
954,12159
955,12155
956,12154
957,12161
958,12169
959,12180
960,12177
961,12172
962,12167
963,12156
964,12150
965,12137
966,12155
967,12166
968,12174
969,12177
970,12180
971,12170
972,12167
973,12164
974,12162
975,12168
976,12150
977,12169
978,12178
979,12175
980,12170
981,12186
982,12142
983,12186
984,12177
985,12174
986,12176
987,12178
988,12171
989,12171
990,12196
991,12177
992,12176
993,12174
994,12180
995,12200
996,12174
997,12169
998,12171
999,12173
1000,12163
1001,12149
1002,12591
1003,12179
1004,12267
1005,12546
1006,12180
1007,12180
1008,12186
1009,12292
1010,12179
1011,12175
1012,12172
1013,12181
1014,12176
1015,12177
1016,12172
1017,12176
1018,12176
1019,12163
1020,12171
1021,12175
1022,12173
1023,12169
1024,12172
1025,12164
1026,12173
1027,12144
1028,12186
1029,12185
1030,12191
1031,12190
1032,12183
1033,12186
1034,12189
1035,12180
1036,12179
1037,12183
1038,12182
1039,12192
1040,12187
1041,12190
1042,12192
1043,12184
1044,12191
1045,12188
1046,12184
1047,12184
1048,12182
1049,12185
1050,12194
1051,12187
1052,12191
1053,12186
1054,12186
1055,12180
1056,12190
1057,12185
1058,12180
1059,12188
1060,12178
1061,12185
1062,12181
1063,12177
1064,12187
1065,12190
1066,12185
1067,12184
1068,12183
1069,12191
1070,12189
1071,12257
1072,12176
1073,12198
1074,12192
1075,12182
1076,12184
1077,12199
1078,12191
1079,12197
1080,12196
1081,12184
1082,12187
1083,12190
1084,12183
1085,12189
1086,12184
1087,12179
1088,12193
1089,12187
1090,12182
1091,12189
1092,12182
1093,12183
1094,12188
1095,12177
1096,12171
1097,12191
1098,12199
1099,12227
1100,12231
1101,12212
1102,12226
1103,12212
1104,12197
1105,12198
1106,12213
1107,12215
1108,12212
1109,12228
1110,12218
1111,12216
1112,12223
1113,12220
1114,12213
1115,12224
1116,12216
1117,12210
1118,12221
1119,12216
1120,12212
1121,12209
1122,12208
1123,12212
1124,12198
1125,12202
1126,12203
1127,12205
1128,12212
1129,12205
1130,12205
1131,12207
1132,12200
1133,12208
1134,12211
1135,12201
1136,12204
1137,12202
1138,12195
1139,12210
1140,12207
1141,12200
1142,12209
1143,12206
1144,12197
1145,12204
1146,12199
1147,12194
1148,12205
1149,12201
1150,12199
1151,12200
1152,12202
1153,12222
1154,12204
1155,12203
1156,12181
1157,12251
1158,12189
1159,12197
1160,12195
1161,12190
1162,12194
1163,12199
1164,12189
1165,12189
1166,12182
1167,12180
1168,12184
1169,12181
1170,12181
1171,12189
1172,12180
1173,12189
1174,12196
1175,12185
1176,12186
1177,12194
1178,12179
1179,12185
1180,12186
1181,12196
1182,12180
1183,12185
1184,12174
1185,12177
1186,12194
1187,12116
1188,12188
1189,12189
1190,12167
1191,12166
1192,12171
1193,12188
1194,12178
1195,12157
1196,12159
1197,12147
1198,12151
1199,12154
1200,12166
1201,12148
1202,12155
1203,12137
1204,12129
1205,12134
1206,12137
1207,12140
1208,12138
1209,12136
1210,12133
1211,12125
