Identifier,Sampling Action,Timestamp,Hydration State,Drinking Action,Water Intake,Config Version,Status Version,Exercise Action,Exercise Intensity
1,0,1477425521774,2,0,0,1,1,0,0
2,1,1477425547874,2,0,0,1,1,0,0
3,0,1477496944779,1,0,0,1,2,0,0
4,1,1477497273179,1,0,0,1,2,0,0
5,0,1477497742163,1,0,0,1,3,0,0
6,1,1477498045121,1,0,0,1,3,0,0
7,0,1477498725778,1,0,0,1,4,0,0
8,1,1477499027278,1,0,0,1,4,0,0
9,0,1477583367745,1,0,0,2,5,0,0
10,1,1477583428945,1,0,0,2,5,0,0
11,0,1477583745862,1,0,0,2,7,0,0
12,1,1477583807774,1,0,0,2,7,0,0
13,0,1477584083850,1,0,0,2,8,0,0
14,1,1477584094350,1,0,0,2,8,0,0
15,0,1477584108645,1,0,0,2,8,0,0
16,1,1477584182145,1,0,0,2,8,0,0
17,0,1477584434814,1,0,0,2,9,0,0
18,1,1477584728614,1,0,0,2,9,0,0
19,0,1477604076796,2,0,0,2,11,0,0
20,1,1477604137596,2,0,0,2,11,0,0
21,0,1477604452361,2,0,0,2,12,0,0
22,1,1477604514861,2,0,0,2,12,0,0
23,0,1477604681516,2,0,0,2,13,0,0
24,1,1477604744316,2,0,0,2,13,0,0
